ID,INDUSTRY,Question 1002: My organisation is interested in changing the way we use electricity if it reduces the electricity bill,"Question 1002: By changing the way the people I work with and I use electricity, my organisation can reduce its electricity bill",Question 10012: My organisation has already done a lot to reduce the amount of electricity it uses,Question 10012: My organisation has already made changes to the way we work in order to reduce the amount of electricity we use.,Question 10012: My organisation would like to do more to reduce electricity usage,Question 10012: My organisation knows what it needs to do in order to reduce electricity usage,Question 10012: My organisation cannot control how much electricity it uses,"Question 170: Approximately what percentage of non wage costs does your organisation spend on electricity? ASSUME BUSINESS PROFILE, HOURS OF BUSINESS HAVE NOT CHANGED, EQUIPMENT, OPENING HOURS HAVE NOT CHANGED.",Question 300: Has your organisation had an audit of its energy use in the past 12 months?,Question 301: Is your organisation curently on a nightsaver tariff?,Question 320: Does your organisation have regular monitoring and reporting of trends in its energy use?,"Question 340: Is there a person in your organisation who is responsible for energy usage checking, monitoring and feeding back?","Question 350: Does your organisation engage in generating its own electricity from sources such as solar panels, wind turbines etc?",Question 6012: My business has become more aware of the cost of the electricity it uses,Question 6012: My business has invested in more energy efficient equipment to reduce its use of electricity of usage,Question 6012: My business reviewed its electricity usage in order to identify ways of reducing it,Question 6012: My business identified easy to implement changes which reduced the amount of electricity it used,Question 6012: Managers were given targets to reduce their use of electricity,Question 6012: Participation in the trial had no impact on the business,Question 6020: By what amount do you think that your electricity bills changed as a result of the trial?,Question 6030: Do you think that your overall electricity usage (units or kWh) changed during the trial?,Question 6502: The tariff (the different prices charged for using electricity at different times of day and night) helped the business to reduce its overall usage of electricity,Question 6502: The tariff made the business become more aware about how it used electricity,"Question 9030: When you first received this energy usage statement how effective did you find it in helping your business reduce its electricity usage, using a scale of 1 to 5 where 5 is very effective and 1 is not at all effective or 6 did not read it?",Question 9040: And over the entire trial how effective did you find the energy usage statement in helping your business reduce its electricity usage using a scale of 1 to 5 where 5 is very effective and 1 is not at all effective or 6 did not read it?,Question 20000: Have you installed timing switches on any of your electrical appliances/equipment?,"Question 200007: Is there a person in your organisation who is responsible for energy usage checking, monitoring and feeding back?","Question 200008: Does your organisation engage in generating its own electricity from sources such as solar panels, wind turbines etc?",Question 5432: My organisation is interested in changing the way we use electricity if it reduces the electricity bill,"Question 5432: By changing the way the people I work with and I use electricity, I can reduce my electricity bill",Question 5442: My organisation has already done a lot to reduce the amount of electricity it uses,Question 5442: My organisation has already made changes to the way we work in order to reduce the amount of electricity we use.,Question 5442: My organisation would like to do more to reduce electricity usage,Question 5442: My organisation knows what it needs to do in order to reduce electricity usage,Question 5442: My organisation cannot control how much electricity it uses,Question 5422: Approximately what % savings on the average bill did you achieve?,Question 5512: The overall quality of the electricity supply,Question 5512: The percentage of electricity being generated from renewable sources,Question 5512: The number of estimated bills your organisation receives,Question 5512: The level of wastage of electricity in the home or office,Question 5512: The overall cost of electricity,Question 5512: The environmental damage associated with the amount of electricity used,,
2506,1,3,5,5,5,3,3,5,99,2,1,2,2,2, , , , , , , , , , , , ,1,2,2,1,1,4,4,1,4,1, ,1,1,2,3,1,1,,
2516,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,2,2,3,1,4,2,5,4,4,,
2521,3,1,1,1,1,1,3,3,3,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,1,4,4,1,2,4, ,2,3,2,5,5,3,,
2524,2,2,1,1,2,2,3,2,0,2,2,2,2,2,1,1,1,1,1,5,3,3,5,5, , ,2,2,2,1,1,2,2,2,4,2, ,2,5,2,2,4,4,,
2527,1,1,1,4,4,1,3,1,99,1,2,2,2,2,5,1,1,1,1,4,3,3,5,1,5,5,,,,,,,,,,,,,,,,,,,
2550,2,5,5,5,5,5,5,5,99,2,1,2,2,2,4,1,1,1,1,3,3,3,2,2, , ,2,2,2,1,3,4,4,1,2,4, ,1,4,2,3,4,3,,
2554,2,1,4,1,1,1,1,4,6,2,2,2,1,2,5,1,5,5,1,1,2,2,1,1,5,5,2,2,2,1,1,1,1,1,3,4,15,1,3,2,3,2,2,,
2639,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,5,5,4,5,2, ,2,2,4,2,5,4,,
2644,2,1,2,3,3,1,4,3,0,2,1,2,2,2,4,1,4,5,1,1,3,3,2,1,5,5,2,2,2,1,1,4,2,4,2,1, ,1,5,1,3,5,5,,
2655,2,1,4,2,2,3,1,3,4,2,1,1,2,2,5,2,4,4,1,1,2,2,2,2,5,4,2,2,2,2,2,5,5,3,3,4, ,3,3,4,5,4,4,,
2674,3,1,2,3,2,1,1,4,10,2,1,2,1,2,4,2,4,4,2,1,3,2,1,2,5,5,2,2,2,1,1,3,4,1,4,2, ,2,3,5,4,4,3,,
2681,3,1,1,3,2,1,1,4,2,2,2,2,2,2,4,1,2,3,1,3,2,2,1,2,5,4,,,,,,,,,,,,,,,,,,,
2687,1,2,2,2,1,1,2,2,2,2,1,1,1,2,5,2,4,4,2,2,3,3,5,2,5,5,1,2,2,3,1,2,2,2,3,3, ,2,3,3,3,5,3,,
2722,2,1,3,1,1,2,4,4,2,1,1,2,1,2, , , , , , , , , , , , ,2,1,2,1,2,2,2,1,4,4,999,1,4,4,2,2,4,,
2739,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,3,1,1,1,3,2,10,1,1,1,5,3,5,,
2759,3,3,3,4,4,3,3,1,5,2,1,2,2,2,3,1,1,1,1,4,3,3,3,3, , ,2,2,2,1,2,1,3,1,4,5, ,1,4,2,4,4,4,,
2764,3,1,1,1,3,3,2,4,0,2,1,2,2,2, , , , , , , , , , , , ,1,2,2,1,1,3,3,1,1,2, ,1,2,2,3,4,5,,
2768,3,1,1,1,1,1,1,4,10,2,2,2,2,2, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
2812,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,3,2,5,4,4,4, ,1,3,3,3,5,4,,
2818,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1,1,1,1,999,2,2,2,2,2,2,,
2823,1,1,1,1,1,1,2,4,0,1,1,2,1,2,5,4,4,3,4,4,2,2,1,1, , ,2,2,2,1,1,4,3,1,5,5, ,1,5,5,5,5,5,,
2824,1,1,1,1,3,1,1,5,5,2,2,1,1,2,5,3,5,4,1,3,2,2,2,2,5,5,2,1,2,1,1,2,2,1,1,4,999,1,2,3,4,2,4,,
2830,4,3,2,3,3,2,3,3,1,2,2,2,2,2,4,3,2,2,1,4,2,2,2,2,4,4,2,2,2,2,1,3,3,2,3,3, ,2,4,3,4,3,3,,
2845,3,1,1,1,1,1,1,2,99,2,2,2,1,2, , , , , , , , , , , , ,1,2,2,4,2,2,2,3,2,4, ,4,4,4,2,4,5,,
2882,1,1,1,2,2,2,4,2,10,2,2,2,2,2, , , , , , , , , , , , ,2,2,2,1,1,4,4,1,5,1, ,1,4,1,2,4,4,,
2913,4,4,4,4,4,4,2,2,20,1,2,2,1,2,4,2,2,2,1,3,2,3,4,2, , ,2,2,2,1,2,3,4,1,3,3, ,2,3,3,3,5,5,,
2916,1,2,1,2,2,3,4,5,2,2,1,2,2,2, , , , , , , , , , , , ,2,2,2,2,2,4,4,2,5,5, ,2,5,3,3,5,5,,
2923,4,1,1,2,2,1,1,2,3,2,2,2,2,2,5,1,5,5,1,2,3,3,1,1, , ,2,2,2,1,1,3,2,1,4,5,50,2,3,2,5,5,4,,
2929,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,4,3,3,1,4,1, ,5,2,2,2,2,3,,
2930,3,1,1,2,1,1,1,4,10,2,1,1,1,2,4,4,4,4,3,2,1,2,1,1,4,4,2,2,2,1,1,2,2,1,4,1,2,1,3,1,4,4,4,,
2939,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,3, ,1,2,2,3,2,4,,
2978,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,3,3,1,2,3, ,3,2,1,2,4,3,,
3002,3,1,3,3,3,1,1,5,5,2,2,2,2,2, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
3013,2,1,3,5,5,1,5,2,2,2,2,2,1,2, , , , , , , , , , , , ,2,2,2,1,4,4,5,5,5,3, ,1,3,3,3,3,3,,
3027,3,2,2,2,2,1,1,5,5,2,2,2,2,2,5,5,4,4,1,1,3,3,3,3, , ,,,,,,,,,,,,,,,,,,,
3041,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1,1,2,3,25,1,2,3,2,2,3,,
